NOC_Code,NOC Title,Outlook,,Release Date,Province,Economic Region Code,Economic Region Name,LANG
NOC_0011,Legislators,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0012,Senior government managers and officials,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0013,Senior managers - financial. communications and other business services,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0014,Senior managers - health. education. social and community services and membership organizations,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0015,Senior managers - trade. broadcasting and other services. n.e.c.,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0016,Senior managers - construction. transportation. production and utilities,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0111,Financial managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0112,Human resources managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0113,Purchasing managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0114,Other administrative services managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0121,Insurance. real estate and financial brokerage managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0122,Banking. credit and other investment managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0124,Advertising. marketing and public relations managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0125,Other business services managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0131,Telecommunication carriers managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0132,Postal and courier services managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0211,Engineering managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0212,Architecture and science managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0213,Computer and information systems managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0311,Managers in health care,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0411,Government managers - health and social policy development and program administration,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0412,Government managers - economic analysis. policy development and program administration,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0413,Government managers - education policy development and program administration,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0414,Other managers in public administration,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0421,Administrators - post-secondary education and vocational training,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0422,School principals and administrators of elementary and secondary education,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0423,Managers in social. community and correctional services,Good,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0431,Commissioned police officers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0432,Fire chiefs and senior firefighting officers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0433,Commissioned officers of the Canadian Forces,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0511,Library. archive. museum and art gallery managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0512,Managers - publishing. motion pictures. broadcasting and performing arts,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0513,Recreation. sports and fitness program and service directors,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0601,Corporate sales managers,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0621,Retail and wholesale trade managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0631,Restaurant and food service managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0632,Accommodation service managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0651,Managers in customer and personal services. n.e.c.,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0711,Construction managers,Limited,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0712,Home building and renovation managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0714,Facility operation and maintenance managers,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0731,Managers in transportation,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0811,Managers in natural resources production and fishing,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0821,Managers in agriculture,Fair,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
NOC_0822,Managers in horticulture,Undetermined,,14/12/2018,NL,1000,Newfoundland and Labrador,EN
